organization_id,organization_size,industry,number_of_employees,number_of_endpoints,number_of_servers,cloud_usage_percentage,remote_worker_percentage,critical_asset_count,mfa_coverage,privileged_account_mfa,privileged_access_management,password_policy_score,access_review_frequency_days,least_privilege_enforced,sso_adoption_percentage,asset_inventory_coverage,asset_discovery_frequency_days,data_classification_implemented,critical_asset_identification,endpoint_protection_coverage,firewall_deployment,network_segmentation,encryption_at_rest,encryption_in_transit,security_awareness_training,secure_configuration_baselines,vulnerability_scanning_frequency_days,patch_frequency_days,average_patch_delay,critical_vulnerability_remediation_time,penetration_testing_frequency_months,siem_deployed,soc_coverage_hours,security_monitoring,edr_coverage,automated_alerting,log_retention_days,incident_response_plan,incident_response_testing,dedicated_ir_team,mean_time_to_detect,mean_time_to_respond,backup_frequency_hours,offline_backup,backup_testing_frequency_months,disaster_recovery_plan,recovery_time_objective_hours,recovery_point_objective_hours,vendor_risk_management,third_party_access_controls,supply_chain_monitoring,previous_incidents_count,previous_data_breach,ransomware_history,data_source,risk_score,risk_level,baseline_score
ORG-00011,small,finance,39,52,3,99.2,30.3,1,5.0,False,False,3,204,True,13.9,26.5,51,False,False,22.4,True,False,14.3,51.4,False,False,69,43,63,30,0,False,8,True,33.1,False,141,False,False,True,167.0,72.0,6,False,6,False,70.0,17.0,False,False,False,2,True,False,SYNTHETIC,82.4,Critical,80.0
ORG-00012,medium,healthcare,389,499,52,67.7,80.4,14,62.1,False,False,3,124,False,52.0,39.1,34,False,True,57.2,True,False,25.8,56.5,True,True,76,28,65,25,0,False,8,True,41.1,False,185,False,False,False,117.0,96.0,24,False,3,False,47.0,9.0,False,False,False,1,False,False,SYNTHETIC,73.9,High,71.1
ORG-00013,small,finance,17,23,1,78.2,24.7,8,47.5,False,False,2,144,False,41.1,20.6,52,True,True,37.1,True,False,33.5,51.4,False,False,50,45,39,18,6,False,8,True,30.6,False,104,False,False,False,134.0,94.0,24,True,6,False,42.0,2.0,False,True,True,0,False,False,SYNTHETIC,61.7,High,64.1
ORG-00014,small,retail,43,43,1,54.5,42.2,3,17.6,False,False,2,216,False,0.0,20.0,56,True,True,26.6,True,False,0.0,22.4,False,False,94,47,76,25,12,False,0,False,35.1,False,113,False,False,False,174.0,137.0,6,False,12,False,69.0,16.0,False,True,False,1,True,False,SYNTHETIC,88.5,Critical,84.8
ORG-00015,large,education,5744,12252,1706,82.7,63.7,342,78.0,True,True,3,97,True,51.1,69.5,32,True,False,68.8,True,False,53.7,55.2,True,True,45,29,39,11,12,True,16,True,77.3,True,230,True,True,True,77.0,40.0,72,False,12,False,23.0,11.0,False,False,False,5,False,True,SYNTHETIC,40.3,Moderate,43.2
ORG-00016,small,retail,26,29,2,87.6,28.0,3,15.2,False,False,2,178,False,11.1,20.0,56,False,False,21.8,True,False,34.0,18.8,True,False,85,60,65,36,12,False,8,True,11.1,False,91,False,False,False,192.0,91.0,6,False,3,False,57.0,20.0,False,False,False,2,False,False,SYNTHETIC,97.7,Critical,84.5
ORG-00017,large,retail,14341,23237,1989,62.4,31.7,400,60.1,True,True,3,162,True,21.1,83.0,50,False,True,51.9,True,False,14.9,52.1,True,True,48,33,41,19,6,True,0,True,48.5,True,230,True,False,True,114.0,58.0,12,True,6,False,36.0,19.0,False,True,True,0,False,False,SYNTHETIC,40.2,Moderate,39.9
ORG-00018,large,finance,8998,13760,2464,64.4,23.3,494,66.0,True,True,4,110,True,37.1,57.4,30,False,True,66.4,True,False,61.5,64.7,True,False,42,30,24,21,0,False,24,True,42.2,False,274,True,True,True,66.0,69.0,12,True,3,False,28.0,4.0,True,False,False,0,False,False,SYNTHETIC,31.9,Moderate,35.2
ORG-00019,small,finance,46,65,5,69.9,21.4,5,41.3,False,False,3,150,True,29.0,51.4,34,True,True,45.3,True,True,44.8,46.2,True,False,36,40,23,20,0,False,0,False,32.4,False,280,False,False,True,138.0,53.0,72,True,12,False,38.0,14.0,False,True,True,1,False,False,SYNTHETIC,52.3,High,50.8
ORG-00020,small,government,35,36,1,68.9,3.4,4,51.7,False,False,3,148,False,21.7,37.1,51,False,True,42.5,True,False,45.6,48.7,False,True,87,39,47,28,12,False,8,True,46.7,False,158,True,False,True,137.0,97.0,24,False,6,True,48.0,10.0,False,False,False,2,False,False,SYNTHETIC,73.0,High,70.0
ORG-00021,medium,energy,2125,3025,259,80.5,20.9,56,54.4,True,True,3,115,True,83.9,76.8,18,True,False,62.6,True,True,87.4,64.0,True,True,45,29,23,8,6,True,8,True,79.3,True,271,True,True,False,106.0,79.0,168,True,3,True,29.0,8.0,True,True,True,0,False,False,SYNTHETIC,24.7,Low,24.6
ORG-00022,small,technology,45,55,3,87.2,4.0,2,77.6,True,True,4,111,False,65.7,61.2,42,True,False,63.8,True,True,59.3,59.2,True,True,45,23,35,19,12,False,8,True,58.4,False,259,True,True,False,94.0,55.0,24,True,3,True,32.0,4.0,True,True,True,0,False,False,SYNTHETIC,31.9,Moderate,34.4
ORG-00023,medium,education,1617,2425,213,69.0,2.4,47,0.0,False,False,3,168,False,23.8,26.8,44,False,True,27.0,True,False,52.6,38.4,False,False,67,54,53,36,24,False,8,True,16.6,False,134,False,False,False,139.0,91.0,12,False,6,True,77.0,21.0,False,False,True,4,True,False,SYNTHETIC,90.7,Critical,82.1
ORG-00024,medium,education,1429,1735,164,74.3,79.2,38,52.2,True,True,3,145,False,59.1,50.5,50,True,True,46.7,True,True,27.3,55.5,True,False,47,40,26,22,12,True,8,True,54.9,True,223,False,False,True,149.0,67.0,6,False,6,True,35.0,10.0,True,False,True,3,True,True,SYNTHETIC,45.9,Moderate,45.8
ORG-00025,small,energy,12,12,1,65.5,12.9,3,36.7,False,True,3,156,False,41.2,20.0,46,False,False,27.9,True,False,35.4,49.0,False,True,63,41,37,34,6,False,0,False,46.5,False,192,False,False,False,112.0,52.0,6,False,1,False,43.0,10.0,False,False,True,1,True,False,SYNTHETIC,72.0,High,72.1
ORG-00026,medium,retail,235,379,45,43.7,26.8,11,49.0,False,False,3,95,False,56.0,20.0,45,True,False,38.7,True,True,39.0,60.4,False,True,62,35,14,18,12,True,0,True,49.4,False,172,False,False,True,109.0,48.0,24,True,6,True,40.0,10.0,False,False,False,2,False,False,SYNTHETIC,50.1,High,53.5
ORG-00027,medium,technology,121,177,11,53.1,32.5,4,75.9,True,True,4,74,True,32.6,74.9,23,False,False,79.0,True,True,87.8,58.3,True,True,20,20,34,10,12,True,24,True,62.7,True,284,True,False,True,44.0,40.0,12,True,3,True,19.0,10.0,True,True,True,0,False,False,SYNTHETIC,18.2,Low,19.9
ORG-00028,small,manufacturing,24,25,1,71.1,50.4,1,50.7,False,False,2,161,False,34.5,45.3,51,True,False,50.6,True,True,26.8,62.0,False,False,61,44,81,26,12,False,8,True,17.5,False,160,True,True,True,132.0,70.0,6,False,6,False,38.0,10.0,True,False,False,0,False,False,SYNTHETIC,76.2,Critical,67.8
ORG-00029,small,healthcare,61,84,5,87.4,35.8,2,64.5,True,True,4,105,True,58.4,60.3,28,True,True,72.1,True,True,52.3,63.9,True,False,39,26,44,8,12,True,0,True,62.1,True,306,True,True,False,83.0,19.0,168,True,12,True,24.0,10.0,True,True,True,2,False,False,SYNTHETIC,27.7,Moderate,27.6
ORG-00030,small,energy,49,60,2,54.3,29.3,4,74.0,True,True,4,118,False,43.6,52.5,31,True,True,66.0,True,True,50.3,69.8,True,False,40,20,10,9,24,True,8,True,62.2,False,282,False,False,True,43.0,36.0,168,False,3,True,30.0,4.0,True,False,False,1,True,True,SYNTHETIC,35.9,Moderate,36.3
ORG-00031,medium,finance,739,1158,76,50.3,58.0,18,100.0,True,True,4,46,True,82.3,62.0,14,True,True,96.9,True,True,91.0,79.8,True,False,23,25,19,15,0,True,8,True,100.0,False,388,True,True,True,19.0,15.0,6,True,1,True,4.0,1.0,True,True,True,1,False,False,SYNTHETIC,12.3,Low,10.9
ORG-00032,small,education,25,27,1,56.9,6.1,2,39.9,False,False,3,143,False,17.7,39.8,43,True,True,53.5,True,False,42.4,50.1,True,False,67,42,54,30,12,False,0,False,33.6,False,206,True,False,False,109.0,70.0,24,False,3,True,44.0,12.0,False,False,False,3,False,False,SYNTHETIC,69.3,High,70.0
ORG-00033,small,finance,38,50,3,82.4,20.5,4,56.1,False,True,3,134,True,52.0,45.6,28,True,True,47.3,True,False,42.2,55.4,True,True,50,40,52,24,12,False,8,True,74.1,False,176,True,True,False,95.0,61.0,24,True,1,True,32.0,15.0,True,False,False,1,False,False,SYNTHETIC,48.7,Moderate,46.4
ORG-00034,small,education,35,36,2,88.2,6.8,1,26.5,False,False,2,230,False,7.1,20.0,59,False,False,40.7,True,False,41.5,38.4,False,False,78,50,92,30,24,False,8,True,45.4,False,102,True,False,False,154.0,99.0,6,True,0,False,49.0,20.0,False,False,False,1,True,False,SYNTHETIC,74.3,High,74.8
ORG-00035,medium,finance,392,521,40,43.4,52.1,13,36.4,False,False,3,153,True,34.6,52.8,38,False,False,54.4,True,False,18.5,57.1,True,False,66,49,36,26,0,False,8,True,51.0,False,170,True,False,True,141.0,94.0,12,False,6,True,56.0,17.0,False,False,False,4,True,False,SYNTHETIC,62.4,High,64.0
ORG-00036,small,technology,144,163,6,50.1,23.4,3,55.4,True,True,4,83,False,32.2,64.4,34,True,False,44.9,True,True,47.8,57.8,False,True,48,31,54,13,12,True,0,True,49.3,False,229,False,False,True,90.0,59.0,72,True,6,True,36.0,11.0,True,True,False,1,False,False,SYNTHETIC,43.8,Moderate,42.0
ORG-00037,large,government,12354,26028,2555,95.0,5.0,516,70.9,True,True,5,42,True,84.3,64.7,19,True,False,86.3,True,True,67.7,75.0,True,True,35,30,16,9,12,True,8,True,76.1,True,376,True,True,True,73.0,29.0,12,True,6,True,29.0,2.0,True,True,True,0,False,False,SYNTHETIC,18.2,Low,18.2
ORG-00038,large,technology,20259,45877,6827,64.9,63.3,1367,29.5,True,True,4,112,True,52.2,54.1,36,True,True,63.0,False,True,50.3,78.6,True,False,44,33,36,11,12,True,24,True,65.8,True,299,True,True,True,42.0,20.0,6,True,3,False,28.0,12.0,True,True,True,2,True,False,SYNTHETIC,26.4,Moderate,25.2
ORG-00039,small,government,28,39,2,56.9,0.0,6,19.2,False,False,2,189,False,48.2,20.0,50,False,False,17.9,True,False,38.2,34.6,False,False,90,62,79,36,12,False,0,False,18.2,False,96,False,False,False,150.0,74.0,12,False,3,True,53.0,24.0,False,False,True,2,True,True,SYNTHETIC,94.2,Critical,83.0
ORG-00040,large,technology,4167,7786,968,66.9,64.7,193,48.2,True,True,3,115,True,74.8,66.8,37,True,False,52.0,True,False,42.5,53.4,True,True,24,31,15,10,0,True,24,True,28.0,True,250,True,True,True,91.0,47.0,12,True,3,False,30.0,16.0,False,True,True,2,True,False,SYNTHETIC,32.7,Moderate,32.5
ORG-00041,small,education,114,146,7,76.8,79.8,5,7.3,False,False,1,183,False,18.9,20.0,56,False,False,47.9,True,False,23.2,24.0,False,False,87,48,55,31,24,False,8,True,22.1,False,135,False,False,True,149.0,116.0,12,False,3,True,70.0,14.0,False,False,False,5,False,False,SYNTHETIC,96.9,Critical,83.9
ORG-00042,small,manufacturing,9,10,1,74.2,34.7,2,0.0,False,False,1,212,False,0.0,20.0,77,False,False,12.6,True,False,26.8,22.8,False,True,80,68,87,33,12,False,0,False,4.5,False,34,False,False,True,179.0,93.0,168,False,1,False,60.0,17.0,False,False,False,3,False,False,SYNTHETIC,99.4,Critical,89.7
ORG-00043,small,healthcare,33,48,1,43.3,47.7,4,62.3,True,True,4,122,False,50.0,62.4,35,True,True,75.5,True,True,33.7,55.8,False,True,30,24,46,15,12,True,0,True,77.0,True,260,True,True,False,88.0,42.0,6,False,3,True,23.0,13.0,True,True,True,2,False,False,SYNTHETIC,38.6,Moderate,38.8
ORG-00044,large,manufacturing,23761,51347,4591,44.2,76.0,922,77.5,True,True,3,117,False,48.9,60.2,45,True,False,95.7,True,True,49.8,84.5,False,False,49,34,45,13,6,True,16,True,70.4,True,280,True,False,True,61.0,43.0,24,False,6,True,18.0,9.0,False,False,False,1,False,False,SYNTHETIC,40.6,Moderate,42.3
ORG-00045,large,technology,5392,10792,955,76.4,36.3,193,13.5,False,False,2,173,False,23.3,29.4,57,True,False,32.9,True,True,16.1,33.9,False,False,59,46,63,30,12,False,16,True,34.7,False,132,False,False,True,142.0,94.0,6,False,6,True,54.0,15.0,False,False,False,3,False,True,SYNTHETIC,81.9,Critical,76.1
ORG-00046,medium,technology,267,322,37,71.6,51.2,11,72.0,False,False,4,107,True,79.8,65.1,24,True,True,81.8,True,True,53.2,71.8,False,True,34,29,38,17,12,True,8,True,78.9,True,294,True,True,False,89.0,57.0,6,True,3,True,44.0,9.0,True,False,True,5,True,False,SYNTHETIC,35.3,Moderate,35.1
ORG-00047,medium,finance,1137,1954,222,46.6,62.3,49,60.0,True,True,3,120,True,70.0,36.0,45,True,True,53.1,True,True,36.3,69.5,True,True,46,40,50,17,12,True,24,True,67.8,True,288,True,False,True,53.0,57.0,24,True,12,False,35.0,6.0,True,True,False,0,False,False,SYNTHETIC,31.9,Moderate,33.1
ORG-00048,small,retail,13,17,1,72.2,4.1,1,39.3,False,False,2,134,True,27.0,20.0,40,True,False,41.4,True,True,27.1,43.5,False,False,85,34,72,32,0,False,0,False,30.8,False,161,False,False,True,129.0,92.0,6,False,6,True,61.0,17.0,True,False,False,0,False,False,SYNTHETIC,73.2,High,70.2
ORG-00049,medium,manufacturing,1301,2249,227,76.0,51.4,45,69.5,False,False,5,99,True,13.4,71.7,25,True,True,47.9,True,False,50.0,67.1,True,True,46,28,36,21,12,True,8,True,72.0,True,234,False,False,True,82.0,58.0,12,True,1,True,35.0,12.0,True,True,False,1,False,False,SYNTHETIC,37.7,Moderate,38.6
ORG-00050,medium,technology,487,844,86,45.4,38.9,19,49.9,True,True,2,146,True,25.2,36.0,37,False,True,37.5,True,True,27.9,69.4,False,False,49,45,32,25,24,False,8,True,34.1,False,180,False,False,True,81.0,76.0,24,False,12,False,33.0,20.0,True,True,True,0,False,False,SYNTHETIC,52.9,High,54.8
ORG-00051,large,technology,19906,40094,6749,95.0,25.5,1351,100.0,True,True,4,58,True,76.9,79.3,23,True,True,77.6,True,True,94.6,71.1,True,True,4,24,25,3,12,True,24,True,87.1,True,301,True,True,True,3.0,14.0,12,True,0,True,1.0,8.0,True,False,True,0,False,False,SYNTHETIC,10.5,Low,11.0
ORG-00052,medium,retail,285,462,37,62.5,54.1,8,52.9,False,False,3,144,False,21.8,37.4,30,False,False,53.8,True,True,26.3,49.8,False,False,62,47,53,20,24,True,16,True,51.3,True,167,False,False,True,124.0,83.0,12,False,12,True,39.0,14.0,False,False,False,1,True,True,SYNTHETIC,64.6,High,65.3
ORG-00053,small,government,26,32,2,75.9,0.0,3,37.0,False,False,3,160,False,5.8,20.0,43,True,True,32.5,False,False,39.6,27.8,False,True,83,55,35,29,12,False,0,False,12.9,False,51,False,False,False,190.0,106.0,24,True,3,False,65.0,20.0,False,False,False,4,False,False,SYNTHETIC,70.9,High,74.8
ORG-00054,large,government,5737,9654,1728,59.3,47.6,349,93.1,True,True,5,30,True,73.4,90.8,5,True,True,98.2,True,True,89.4,100.0,True,True,1,9,12,1,12,True,16,True,78.0,True,338,True,True,True,11.0,20.0,12,True,6,False,5.0,9.0,True,True,True,0,False,False,SYNTHETIC,7.4,Low,10.5
ORG-00055,medium,finance,2224,3730,383,42.0,12.5,81,100.0,True,True,5,49,True,72.0,88.9,3,True,True,89.6,True,True,91.1,83.7,True,True,14,6,2,11,12,True,8,True,100.0,True,402,True,True,True,56.0,5.0,12,True,3,True,1.0,1.0,True,True,False,0,False,False,SYNTHETIC,10.0,Low,8.7
ORG-00056,small,energy,13,19,1,71.0,0.0,1,45.3,False,False,2,180,False,28.4,40.2,38,True,True,51.7,True,False,35.9,62.7,True,False,72,34,38,23,0,False,16,True,49.4,False,136,False,False,False,137.0,98.0,24,False,6,True,47.0,17.0,False,False,True,2,False,False,SYNTHETIC,67.5,High,66.9
ORG-00057,small,healthcare,174,242,15,33.7,39.5,7,56.7,False,True,3,87,False,54.1,56.3,36,True,False,55.9,True,True,57.1,65.8,True,False,43,24,41,18,12,False,0,False,40.6,False,220,True,True,False,96.0,38.0,12,False,3,False,27.0,10.0,True,True,False,0,False,False,SYNTHETIC,53.4,High,52.6
ORG-00058,small,government,11,11,1,50.8,73.4,6,6.4,False,False,1,178,False,0.0,20.0,71,False,False,23.3,True,False,16.5,34.3,False,False,86,70,60,41,12,False,0,False,15.7,False,121,False,False,False,189.0,101.0,24,False,6,False,69.0,14.0,False,True,False,0,False,False,SYNTHETIC,100.0,Critical,88.7
ORG-00059,medium,finance,525,765,54,51.1,54.0,13,92.1,True,True,4,53,True,87.1,65.8,20,True,True,76.6,True,True,71.9,77.5,True,True,29,14,14,6,12,True,0,True,88.6,True,378,True,True,True,79.0,14.0,6,True,3,True,17.0,7.0,True,True,True,2,False,False,SYNTHETIC,13.1,Low,13.9
ORG-00060,small,retail,28,31,1,61.6,72.5,4,9.5,False,False,1,199,False,8.4,20.0,55,False,False,10.0,True,False,7.4,39.2,True,False,98,50,65,31,24,False,24,True,24.5,False,138,False,False,False,221.0,95.0,12,False,3,False,61.0,23.0,False,False,False,2,False,True,SYNTHETIC,96.5,Critical,85.5
ORG-00061,medium,finance,1244,2197,227,34.9,28.1,48,55.4,True,True,4,91,True,52.9,50.9,37,True,True,85.3,True,True,70.5,81.7,True,True,45,33,33,19,12,True,0,True,61.8,True,308,False,False,True,21.0,43.0,24,True,0,True,26.0,2.0,False,True,True,0,False,False,SYNTHETIC,31.9,Moderate,30.6
ORG-00062,small,education,16,21,1,88.5,8.0,4,27.0,False,False,2,173,True,7.4,35.9,61,False,False,32.5,True,True,0.0,43.8,False,False,73,51,55,27,0,False,0,False,35.2,False,119,False,False,False,146.0,109.0,12,False,6,False,51.0,18.0,False,True,False,6,True,True,SYNTHETIC,74.4,High,74.5
ORG-00063,medium,manufacturing,334,555,53,40.0,34.1,13,61.8,False,False,2,114,False,45.0,29.7,42,False,True,58.7,True,False,49.8,68.7,False,False,61,38,58,22,24,False,8,True,44.9,False,211,False,False,True,76.0,43.0,12,False,1,True,51.0,15.0,True,True,False,3,False,False,SYNTHETIC,62.7,High,63.8
ORG-00064,medium,finance,3681,5702,445,44.2,18.3,92,34.3,False,False,4,156,False,11.1,50.1,42,True,False,62.7,True,True,27.2,47.2,True,True,51,42,62,24,0,True,16,True,46.8,True,204,True,False,True,129.0,58.0,12,True,6,False,44.0,17.0,False,False,False,0,False,False,SYNTHETIC,56.2,High,53.2
ORG-00065,small,education,17,18,1,97.4,23.5,5,38.5,False,False,3,133,True,34.8,36.1,44,True,True,41.2,True,False,35.0,41.4,False,False,71,54,33,19,12,False,8,True,47.0,False,148,False,False,True,113.0,76.0,168,False,3,True,42.0,18.0,False,False,False,2,False,False,SYNTHETIC,65.7,High,64.9
ORG-00066,medium,government,1318,1642,82,15.0,58.1,18,88.4,True,True,5,57,True,62.1,82.0,16,True,True,100.0,True,True,69.6,80.3,True,False,19,9,5,8,6,True,24,True,93.7,False,351,True,True,True,43.0,16.0,24,True,1,True,6.0,0.5,True,True,True,1,False,False,SYNTHETIC,9.3,Low,7.2
ORG-00067,medium,retail,293,455,52,30.1,20.4,14,9.9,False,False,2,169,False,14.2,27.4,51,False,False,13.7,True,False,15.3,19.6,False,False,88,56,72,30,0,True,8,True,8.2,False,63,True,False,False,199.0,102.0,12,True,3,False,48.0,23.0,False,False,False,1,False,False,SYNTHETIC,80.5,Critical,75.0
ORG-00068,medium,healthcare,234,320,24,56.9,61.7,6,23.4,False,False,2,156,False,32.9,43.6,39,False,False,43.4,True,True,48.9,57.8,True,True,66,44,61,19,12,False,24,True,27.3,False,172,False,False,False,94.0,78.0,6,False,6,False,38.0,18.0,True,True,True,5,True,False,SYNTHETIC,71.9,High,65.9
ORG-00069,small,manufacturing,23,28,1,51.0,52.1,3,1.3,False,False,1,190,True,7.9,20.0,66,False,False,29.3,True,False,0.0,16.7,False,False,89,51,84,33,0,False,8,True,9.9,False,33,False,False,False,216.0,131.0,72,False,0,False,65.0,30.0,False,False,False,2,True,True,SYNTHETIC,99.8,Critical,86.6
ORG-00070,small,energy,14,14,1,58.9,28.5,1,27.4,True,True,3,113,False,24.4,67.8,45,True,False,53.9,True,True,22.8,57.2,False,True,58,24,40,19,24,True,0,True,45.9,False,183,True,True,False,108.0,69.0,6,True,1,False,35.0,15.0,True,True,True,1,False,False,SYNTHETIC,47.5,Moderate,45.6
ORG-00071,small,government,23,30,2,71.2,40.8,1,46.3,False,False,2,159,False,24.0,46.9,42,True,False,40.5,False,True,47.5,34.4,True,True,64,40,36,25,12,False,0,False,36.0,False,157,False,False,False,146.0,93.0,72,False,12,True,37.0,15.0,False,True,False,1,True,False,SYNTHETIC,67.4,High,69.3
ORG-00072,medium,retail,425,583,44,37.2,53.7,12,29.0,False,False,2,185,False,23.0,20.0,52,False,True,23.1,True,False,18.5,38.5,True,True,82,52,68,26,0,False,8,True,13.6,False,148,False,False,True,182.0,102.0,6,True,3,False,50.0,18.0,False,False,False,1,True,False,SYNTHETIC,70.2,High,70.9
ORG-00073,medium,healthcare,966,1433,109,15.0,45.3,28,63.6,True,True,5,82,True,45.2,54.6,25,False,True,83.6,True,True,57.5,96.4,True,True,47,11,19,7,12,True,24,True,82.9,True,379,True,True,True,58.0,11.0,1,False,6,True,21.0,10.0,False,True,False,1,False,False,SYNTHETIC,23.2,Low,25.3
ORG-00074,medium,finance,609,976,79,43.6,20.2,18,58.2,True,True,3,87,False,47.1,37.8,27,True,True,79.8,True,True,71.6,60.1,False,True,41,22,48,17,12,False,8,True,78.7,False,235,True,False,True,90.0,33.0,12,True,6,False,33.0,7.0,True,False,False,0,False,False,SYNTHETIC,40.5,Moderate,42.3
ORG-00075,small,government,50,68,4,73.2,34.9,4,7.0,False,False,1,211,False,13.7,20.0,70,False,False,10.0,True,False,14.3,10.0,False,False,85,59,85,32,12,False,8,True,21.8,False,42,True,False,False,198.0,130.0,24,False,3,False,62.0,21.0,False,False,False,1,False,False,SYNTHETIC,99.3,Critical,87.5
ORG-00076,small,healthcare,15,15,1,69.0,28.0,5,10.6,False,False,3,194,False,16.4,24.9,44,False,False,34.0,False,False,50.6,48.1,True,False,59,29,48,31,6,False,0,False,38.6,False,137,False,False,False,129.0,68.0,12,False,6,True,64.0,11.0,True,False,False,1,False,False,SYNTHETIC,80.3,Critical,74.9
ORG-00077,small,energy,81,87,3,78.3,5.3,3,17.6,False,False,2,164,True,32.2,20.0,49,True,False,44.3,True,True,0.0,25.0,False,True,51,69,53,33,24,False,0,False,3.2,False,77,False,False,True,144.0,84.0,12,False,6,False,47.0,22.0,False,False,False,1,True,False,SYNTHETIC,93.2,Critical,79.9
ORG-00078,large,energy,17582,29040,4406,73.1,22.4,884,65.7,True,True,5,27,True,88.4,65.2,10,True,True,100.0,True,True,52.1,92.4,True,True,2,8,2,10,12,True,24,True,84.5,True,387,True,True,True,33.0,4.0,6,True,3,True,3.0,8.0,True,True,True,1,False,False,SYNTHETIC,9.7,Low,9.3
ORG-00079,small,government,22,30,1,58.0,0.0,2,32.4,False,False,3,180,False,0.0,20.0,67,False,True,35.6,True,False,17.6,33.2,False,False,80,65,71,26,12,False,0,False,0.0,False,92,False,False,False,191.0,89.0,12,False,0,False,51.0,29.0,False,False,True,3,False,False,SYNTHETIC,88.0,Critical,81.9
