source_feature,target_p6_feature,mapping_type,status,reason
NONE,Packet Length Std,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Packet Length Std'.
NONE,FIN Flag Count,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'FIN Flag Count'.
NONE,SYN Flag Count,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'SYN Flag Count'.
NONE,RST Flag Count,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'RST Flag Count'.
NONE,PSH Flag Count,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'PSH Flag Count'.
NONE,ACK Flag Count,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'ACK Flag Count'.
NONE,URG Flag Count,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'URG Flag Count'.
NONE,ECE Flag Count,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'ECE Flag Count'.
"dpkts, spkts",Down/Up Ratio,derived (dpkts / spkts),DERIVED_COMPATIBLE,Backward to forward packet ratio.
"sbytes, dbytes, spkts, dpkts",Average Packet Size,derived ((sbytes + dbytes) / (spkts + dpkts)),DERIVED_COMPATIBLE,Mean packet size across all bidirectional packets in flow.
NONE,act_data_pkt_fwd,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'act_data_pkt_fwd'.
NONE,Active Mean,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Active Mean'.
NONE,Active Std,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Active Std'.
NONE,Active Max,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Active Max'.
NONE,Active Min,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Active Min'.
NONE,Idle Mean,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Idle Mean'.
NONE,Idle Std,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Idle Std'.
NONE,Idle Max,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Idle Max'.
NONE,Idle Min,none,NOT_AVAILABLE,Argus/Bro feature extractor in UNSW-NB15 does not compute or extract 'Idle Min'.
sttl,NONE,none,INCOMPATIBLE,Source Time to Live (OS stack dependent)
dttl,NONE,none,INCOMPATIBLE,Destination Time to Live (OS stack dependent)
sloss,NONE,none,INCOMPATIBLE,Source packet retransmissions / drops
dloss,NONE,none,INCOMPATIBLE,Destination packet retransmissions / drops
service,NONE,none,INCOMPATIBLE,"Application service protocol string (e.g. http, dns)"
Sload,NONE,none,INCOMPATIBLE,Source bits per second
Dload,NONE,none,INCOMPATIBLE,Destination bits per second
swin,NONE,none,INCOMPATIBLE,Source TCP window advertisement (purged OS fingerprint)
dwin,NONE,none,INCOMPATIBLE,Destination TCP window advertisement (purged OS fingerprint)
stcpb,NONE,none,INCOMPATIBLE,Source TCP base sequence number
dtcpb,NONE,none,INCOMPATIBLE,Destination TCP base sequence number
trans_depth,NONE,none,INCOMPATIBLE,HTTP pipelined transaction depth
res_bdy_len,NONE,none,INCOMPATIBLE,HTTP response body content length
Sjit,NONE,none,INCOMPATIBLE,Source jitter in milliseconds
Djit,NONE,none,INCOMPATIBLE,Destination jitter in milliseconds
tcprtt,NONE,none,INCOMPATIBLE,TCP connection handshake round-trip time
synack,NONE,none,INCOMPATIBLE,TCP SYN to SYNACK duration
ackdat,NONE,none,INCOMPATIBLE,TCP SYNACK to ACK duration
is_sm_ips_ports,NONE,none,INCOMPATIBLE,Boolean indicator if src IP == dst IP and src port == dst port
ct_state_ttl,NONE,none,INCOMPATIBLE,Count of connections with specific state and TTL
ct_flw_http_mthd,NONE,none,INCOMPATIBLE,Count of HTTP methods in flow
is_ftp_login,NONE,none,INCOMPATIBLE,Binary indicator of FTP login session
ct_ftp_cmd,NONE,none,INCOMPATIBLE,Count of FTP commands in session
ct_srv_src,NONE,none,INCOMPATIBLE,Count of connections with same service and src IP in 100-connection window
ct_srv_dst,NONE,none,INCOMPATIBLE,Count of connections with same service and dst IP in 100-connection window
ct_dst_ltm,NONE,none,INCOMPATIBLE,Count of connections to same dst IP in 100-connection window
ct_src_ltm,NONE,none,INCOMPATIBLE,Count of connections from same src IP in 100-connection window
ct_src_dport_ltm,NONE,none,INCOMPATIBLE,Count of connections with same src IP and dst port in window
ct_dst_sport_ltm,NONE,none,INCOMPATIBLE,Count of connections with same dst IP and src port in window
ct_dst_src_ltm,NONE,none,INCOMPATIBLE,Count of connections with same src and dst IP in window
state,NONE,none,INCOMPATIBLE,"Categorical TCP state machine string (FIN, CON, INT, etc.)"
proto,NONE,none,INCOMPATIBLE,"Transaction protocol string (tcp, udp, unas, etc.)"
id,NONE,none,INCOMPATIBLE,Sequential row identifier
